model_name,threshold,precision,recall,f1,accuracy,balanced_accuracy,anomalous_window_ratio,is_calibrated_threshold
isolation_forest,0.6100660983654047,0.8700787401574803,0.7053191489361702,0.7790834312573442,0.6446124763705104,0.4331680490443563,0.720226843100189,False
isolation_forest,0.6105289305452487,0.8721704394141145,0.6968085106382979,0.7746895328208161,0.6398865784499055,0.4416245943021998,0.7098298676748582,False
isolation_forest,0.6108753706221121,0.8743243243243243,0.6882978723404255,0.7702380952380953,0.6351606805293005,0.45008113956004325,0.6994328922495274,False
isolation_forest,0.611434261807368,0.8767123287671232,0.6808510638297872,0.7664670658682635,0.6313799621928167,0.4590695997115038,0.6899810964083176,False
isolation_forest,0.6117373387263778,0.8776077885952712,0.6712765957446809,0.7606992163954189,0.6247637051039697,0.46275694194013706,0.6795841209829868,False
isolation_forest,0.6120214696431493,0.8857545839210155,0.6680851063829787,0.7616737416616131,0.6285444234404537,0.4908222142084385,0.6701323251417769,False
isolation_forest,0.6125058239758315,0.8911174785100286,0.6617021276595745,0.7594627594627594,0.6275992438563327,0.5088171655247025,0.6597353497164461,False
isolation_forest,0.612792870382244,0.8909883720930233,0.652127659574468,0.7530712530712531,0.6200378071833649,0.5082672196177425,0.6502835538752363,False
isolation_forest,0.6130789589997052,0.8980797636632201,0.6468085106382979,0.7520098948670377,0.6209829867674859,0.5310313739632168,0.6398865784499055,False
isolation_forest,0.6133255368842137,0.9009009009009009,0.6382978723404256,0.7471980074719801,0.6162570888468809,0.5394879192210602,0.6294896030245747,False
isolation_forest,0.6137597414286249,0.9070121951219512,0.6329787234042553,0.7456140350877193,0.6162570888468809,0.5580147854309412,0.6200378071833649,False
isolation_forest,0.6139081365475044,0.9131782945736434,0.6265957446808511,0.7432176656151419,0.6153119092627599,0.5760097367472052,0.6096408317580341,False
isolation_forest,0.614289482294282,0.9149606299212598,0.6180851063829788,0.7377777777777778,0.6096408317580341,0.5802289938694555,0.6001890359168242,False
isolation_forest,0.6145337117723381,0.9230769230769231,0.6127659574468085,0.7365728900255755,0.610586011342155,0.6029931482149297,0.5897920604914934,False
isolation_forest,0.6148378426513827,0.9299674267100977,0.6074468085106383,0.7348777348777349,0.610586011342155,0.6215200144248106,0.5803402646502835,False
isolation_forest,0.615240871554594,0.9336650082918739,0.5989361702127659,0.729747245625405,0.6058601134215501,0.6299765596826541,0.5699432892249527,False
isolation_forest,0.6156108487194846,0.9358108108108109,0.5893617021276596,0.7232375979112271,0.5992438563327032,0.6336639019112874,0.5595463137996219,False
isolation_forest,0.6158932603249959,0.9398625429553265,0.5819148936170213,0.7187910643889619,0.5954631379962193,0.642652362062748,0.5500945179584121,False
isolation_forest,0.6165957911800342,0.9474605954465849,0.575531914893617,0.7160820648577101,0.5945179584120983,0.6606473133790118,0.5396975425330813,False
isolation_forest,0.6172452378435623,0.9518716577540107,0.5680851063829787,0.7115256495669554,0.5907372400756143,0.6696357735304724,0.5302457466918714,False
isolation_forest,0.6177969297140916,0.9581818181818181,0.5606382978723404,0.7073825503355705,0.5879017013232514,0.6828615218175261,0.5198487712665406,False
isolation_forest,0.6183679847640773,0.9648148148148148,0.5542553191489362,0.7040540540540541,0.5860113421550095,0.6966191849981969,0.5103969754253308,False
isolation_forest,0.6195413174532658,0.9754253308128544,0.548936170212766,0.7025187202178352,0.5869565217391305,0.719383339343671,0.5,False
isolation_forest,0.6208104408967494,0.9787644787644788,0.5393617021276595,0.6954732510288066,0.5803402646502835,0.7230706815723044,0.4896030245746692,False
isolation_forest,0.6217148563606859,0.9862204724409449,0.5329787234042553,0.6919889502762431,0.5784499054820416,0.7368283447529751,0.48015122873345933,False
isolation_forest,0.6229575929642762,0.9919517102615694,0.524468085106383,0.686151704940849,0.5737240075614367,0.7452848900108187,0.46975425330812853,False
isolation_forest,0.6257273619704284,0.9917864476386037,0.5138297872340426,0.6769446391030133,0.5642722117202268,0.7399657410746484,0.4603024574669187,False
isolation_forest,0.6280847992855234,0.9915966386554622,0.502127659574468,0.6666666666666666,0.553875236294896,0.7341146772448611,0.4499054820415879,False
isolation_forest,0.6312925382588777,0.9914163090128756,0.49148936170212765,0.6571834992887624,0.5444234404536862,0.7287955283086909,0.44045368620037806,False
isolation_forest,0.6324056030773597,0.9912087912087912,0.4797872340425532,0.646594982078853,0.5340264650283554,0.7229444644789037,0.43005671077504726,False
isolation_forest,0.6333251431730965,0.9932432432432432,0.46914893617021275,0.6372832369942196,0.5255198487712666,0.7218626036783267,0.41965973534971646,False
isolation_forest,0.6342194350113844,0.9930875576036866,0.45851063829787236,0.6273653566229985,0.5160680529300568,0.7165434547421565,0.4102079395085066,False
isolation_forest,0.6352750111614116,0.9929078014184397,0.44680851063829785,0.6162876008804109,0.505671077504726,0.7106923909123692,0.3998109640831758,False
isolation_forest,0.6360980265455893,0.9927360774818402,0.43617021276595747,0.6060606060606061,0.4962192816635161,0.7053732419761991,0.390359168241966,False
isolation_forest,0.6367314663062001,0.9950248756218906,0.425531914893617,0.5961251862891207,0.4877126654064272,0.7042913811756221,0.3799621928166352,False
isolation_forest,0.6378658217753165,0.9948979591836735,0.4148936170212766,0.5855855855855856,0.4782608695652174,0.6989722322394518,0.3705103969754253,False
